—ß∆⁄,—ß∫≈,µÿµ„,»’∆⁄, ±º‰,Ω∂Ó
3,1, ≥Ã√,1219,173325,1.8
3,1, ≥Ã√,1215,173853,5
3,1, ≥Ã√,113,174627,1.2
3,1, ≥Ã√,1222,174628,1.6
3,1, ≥Ã√,113,174708,1
3,1, ≥Ã√,1222,174828,1.8
3,1, ≥Ã√,1225,174955,3.5
3,1, ≥Ã√,1229,175058,9.5
3,1, ≥Ã√,1211,175511,3.7
3,1, ≥Ã√,1215,175557,1
3,1, ≥Ã√,1217,175626,7.3
3,1, ≥Ã√,1210,175749,4.1
3,1,≥¨ –,1223,175803,6.9
3,1,Œƒ”°,1223,180202,0.3
3,1,≥¨ –,1215,180548,4.9
3,1,Àﬁ…·,101,181120,0.03
3,1,Àﬁ…·,104,181238,1.3
3,1,≥¨ –,108,181844,17.8
3,1, ≥Ã√,111,182127,2.53
3,1, ≥Ã√,1218,182156,1.2
3,1, ≥Ã√,111,182819,1
3,1,Àﬁ…·,101,183126,0.03
3,1,≥¨ –,113,185653,10.2
3,1,≥¨ –,1230,191400,23
3,1, ≥Ã√,101,191746,4
3,1, ≥Ã√,1216,191903,1.8
3,1,≥¨ –,1230,192403,5
3,1,Àﬁ…·,1231,192548,3.6
3,1,Àﬁ…·,1231,192548,3.6
3,1,Àﬁ…·,1231,192548,3.6
3,1,ΩªÕ®,1221,193325,1
3,1, ≥Ã√,1210,193454,2
3,1, ≥Ã√,103,195350,8.5
3,1,Àﬁ…·,1215,201623,0.1
3,1,Àﬁ…·,1215,201649,1.4
3,1,Àﬁ…·,1228,204414,1.6
3,1,Àﬁ…·,1224,211007,1.1
3,1,Àﬁ…·,1231,215355,1.3
3,1,Àﬁ…·,1218,222127,0.1
3,1,Àﬁ…·,1218,222147,1.1
3,1,Àﬁ…·,1211,223822,1.1
3,1,Àﬁ…·,107,230814,0.9
3,1,Àﬁ…·,107,231819,0.1
1,2,Àﬁ…·,902,64402,0.9
1,2,Àﬁ…·,903,64552,0.16
1,2, ≥Ã√,1127,65453,1.8
1,2, ≥Ã√,1127,65807,0.5
1,2, ≥Ã√,929,65951,0.2
1,2, ≥Ã√,929,65959,0.6
1,2, ≥Ã√,919,70019,0.7
1,2, ≥Ã√,1018,70102,0.8
1,2, ≥Ã√,1018,70118,0.5
1,2, ≥Ã√,1128,70219,1.8
1,2, ≥Ã√,1019,70303,0.8
1,2, ≥Ã√,929,70316,0.5
1,2, ≥Ã√,1019,70331,0.3
1,2, ≥Ã√,1022,70334,0.8
1,2, ≥Ã√,928,70352,0.2
1,2, ≥Ã√,928,70407,0.6
1,2, ≥Ã√,1026,70425,2
1,2, ≥Ã√,1022,70433,0.3
1,2, ≥Ã√,928,70510,0.3
1,2, ≥Ã√,1128,70517,0.5
1,2, ≥Ã√,1226,70525,1.8
1,2, ≥Ã√,1030,70532,3
1,2, ≥Ã√,1226,70721,0.5
1,2, ≥Ã√,1129,70734,2
1,2, ≥Ã√,1105,70738,1.1
1,2, ≥Ã√,1221,70829,1.8
1,2, ≥Ã√,1106,70833,1.6
1,2, ≥Ã√,1210,70834,1.8
1,2, ≥Ã√,1101,70838,1.1
1,2, ≥Ã√,1206,70851,1.8
1,2, ≥Ã√,1212,70903,2
1,2, ≥Ã√,1031,70916,3
1,2, ≥Ã√,1212,70922,0.5
1,2, ≥Ã√,1204,70927,2
1,2, ≥Ã√,1025,70938,3
1,2, ≥Ã√,1113,70938,2
1,2, ≥Ã√,1221,70945,0.5
1,2, ≥Ã√,1126,70951,1.8
1,2, ≥Ã√,1220,70956,1.8
1,2, ≥Ã√,1217,70959,2
1,2, ≥Ã√,1129,71001,0.5
1,2, ≥Ã√,1130,71012,1.8
1,2, ≥Ã√,1113,71030,0.5
1,2, ≥Ã√,1123,71046,2
1,2, ≥Ã√,1213,71049,2
1,2, ≥Ã√,1114,71052,3.83
1,2, ≥Ã√,1106,71057,0.5
1,2, ≥Ã√,1214,71058,0.5
1,2, ≥Ã√,1205,71104,3
1,2, ≥Ã√,1123,71111,0.5
1,2, ≥Ã√,927,71112,3
1,2, ≥Ã√,1123,71114,0.5
1,2, ≥Ã√,1220,71116,0.5
1,2, ≥Ã√,1114,71117,0.5
1,2, ≥Ã√,1115,71118,2
1,2, ≥Ã√,1211,71121,2
1,2, ≥Ã√,1217,71121,0.5
1,2, ≥Ã√,1214,71123,0.6
1,2, ≥Ã√,1130,71130,0.5
1,2, ≥Ã√,1213,71133,0.5
1,2, ≥Ã√,1107,71135,1.6
1,2, ≥Ã√,1116,71135,2
1,2, ≥Ã√,1122,71136,2
1,2, ≥Ã√,1116,71158,0.5
1,2, ≥Ã√,1210,71203,0.5
1,2, ≥Ã√,1107,71205,0.5
1,2, ≥Ã√,1219,71209,1.8
1,2, ≥Ã√,1211,71222,0.5
1,2, ≥Ã√,1029,71227,1.1
1,2, ≥Ã√,1126,71228,0.5
1,2, ≥Ã√,1029,71230,1.1
1,2, ≥Ã√,1115,71240,0.5
1,2, ≥Ã√,1225,71259,1.8
1,2, ≥Ã√,1204,71301,0.5
1,2, ≥Ã√,1219,71308,0.5
1,2, ≥Ã√,1122,71309,0.5
1,2, ≥Ã√,1206,71312,0.5
1,2, ≥Ã√,1225,71425,0.5
1,2, ≥Ã√,1109,71434,1.8
1,2, ≥Ã√,1218,71906,1.1
1,2, ≥Ã√,1108,71934,1.83
1,2, ≥Ã√,1224,72102,1.83
1,2,ΩÃ “,924,72133,0.01
1,2, ≥Ã√,914,72147,0.83
1,2, ≥Ã√,911,72256,0.83
1,2,ΩÃ “,1120,72305,0.01
1,2, ≥Ã√,1231,72618,1.83
1,2, ≥Ã√,907,72920,0.83
1,2, ≥Ã√,908,73017,0.83
1,2, ≥Ã√,909,73044,0.83
1,2, ≥Ã√,909,73050,0.8
1,2, ≥Ã√,906,73937,1.63
1,2, ≥Ã√,905,74154,0.83
1,2, ≥Ã√,905,74201,3
1,2, ≥Ã√,1227,74302,1.8
1,2, ≥Ã√,1228,75300,1.83
1,2, ≥Ã√,904,75409,0.83
1,2,ΩÃ “,1214,80304,0.01
1,2,ΩÃ “,1203,80417,0.02
1,2,ΩÃ “,1231,80454,0.01
1,2,ΩÃ “,1228,80507,0.01
1,2,ΩÃ “,1119,80636,0.01
1,2,ΩÃ “,1210,80705,0.01
1,2,ΩÃ “,1206,80723,0.01
1,2, ≥Ã√,104,80929,1.8
1,2,ΩÃ “,1220,80948,0.01
1,2, ≥Ã√,104,81144,0.5
1,2,ΩÃ “,1113,81325,0.01
1,2, ≥Ã√,116,81408,3
1,2,ΩÃ “,1113,81412,0.01
1,2, ≥Ã√,116,81430,3
1,2,ΩÃ “,1218,81501,0.01
1,2,ΩÃ “,1221,81735,0.01
1,2, ≥Ã√,1023,81829,0.8
1,2, ≥Ã√,1023,81850,0.3
1,2, ≥Ã√,107,81932,3
1,2,Àﬁ…·,1112,81937,0.05
1,2, ≥Ã√,117,81949,3
1,2, ≥Ã√,1121,82016,3
1,2, ≥Ã√,1024,82029,0.8
1,2, ≥Ã√,1024,82140,0.3
1,2,ΩÃ “,1123,82213,0.01
1,2, ≥Ã√,1010,82326,0.8
1,2, ≥Ã√,1016,82338,3
1,2, ≥Ã√,1121,82627,1
1,2, ≥Ã√,1009,82656,3
1,2, ≥Ã√,1010,82821,0.5
1,2, ≥Ã√,926,82844,3
1,2, ≥Ã√,114,83303,3
1,2,ΩÃ “,104,83313,0.01
1,2,ΩÃ “,1213,83423,0.02
1,2,ΩÃ “,116,84213,0.01
1,2,Àﬁ…·,912,84255,0.18
1,2,ΩªÕ®,922,84300,4
1,2, ≥Ã√,109,84438,3
1,2,ΩÃ “,1121,84536,0.01
1,2,ΩÃ “,107,84626,0.01
1,2,≥¨ –,1205,84843,3.5
1,2,Àﬁ…·,918,84901,0.08
1,2, ≥Ã√,1111,85123,0.5
1,2, ≥Ã√,1111,85153,1.4
1,2,ΩÃ “,114,85300,0.01
1,2,≥¨ –,917,85924,6.6
1,2, ≥Ã√,108,90858,1.8
1,2,Àﬁ…·,1118,90948,0.09
1,2,ΩÃ “,1119,91255,0.01
1,2,ΩÃ “,1017,91609,0.01
1,2,ΩÃ “,926,91645,0.01
1,2,ΩÃ “,926,91703,0.01
1,2,ΩÃ “,1218,92440,0.01
1,2,ΩªÕ®,1020,92856,4
1,2,ΩªÕ®,1215,93221,4
1,2,ΩªÕ®,1007,93507,4
1,2,ΩÃ “,104,93529,0.01
1,2,ΩÃ “,112,93802,0.01
1,2,ΩÃ “,1115,95252,0.01
1,2,ΩÃ “,1227,95713,0.01
1,2,ΩÃ “,1225,95737,0.01
1,2,ΩÃ “,1120,95913,0.01
1,2,ΩÃ “,1113,95936,0.01
1,2,ΩÃ “,1120,95937,0.01
1,2,ΩÃ “,1113,95950,0.02
1,2,ΩÃ “,1218,95954,0.01
1,2,Àﬁ…·,118,100154,2.2
1,2,ΩÃ “,1219,100522,0.01
1,2,ΩÃ “,116,100852,0.01
1,2, ≥Ã√,105,101026,1.8
1,2,ΩÃ “,1127,101128,0.01
1,2,ΩÃ “,1129,101200,0.01
1,2,ΩÃ “,105,101449,0.01
1,2, ≥Ã√,1109,101808,6.5
1,2, ≥Ã√,1105,101811,6.5
1,2,ΩÃ “,1231,101926,0.01
1,2, ≥Ã√,1207,101938,7.5
1,2, ≥Ã√,1228,101952,7.5
1,2, ≥Ã√,1221,102305,6.5
1,2, ≥Ã√,917,102418,6.5
1,2,Àﬁ…·,901,102424,0.12
1,2, ≥Ã√,1116,102601,6.5
1,2, ≥Ã√,1022,102605,6.5
1,2, ≥Ã√,1015,102736,10
1,2, ≥Ã√,1214,103554,7.5
1,2, ≥Ã√,1022,104145,3.74
1,2, ≥Ã√,917,104429,1.8
1,2, ≥Ã√,1104,104524,6.5
1,2,Àﬁ…·,1019,104537,1.1
1,2,Àﬁ…·,111,104921,0.01
1,2, ≥Ã√,109,105059,10.4
1,2, ≥Ã√,104,105219,10
1,2,Àﬁ…·,1109,105411,0.08
1,2, ≥Ã√,1102,105516,6.5
1,2, ≥Ã√,921,105746,3.7
1,2, ≥Ã√,1026,105900,4.4
1,2, ≥Ã√,1027,110210,6.5
1,2,ΩÃ “,1127,110333,0.01
1,2, ≥Ã√,1217,110336,10
1,2, ≥Ã√,1028,110757,6.5
1,2, ≥Ã√,1126,110815,8.4
1,2, ≥Ã√,1021,110817,10
1,2, ≥Ã√,1026,110827,3.33
1,2,Àﬁ…·,1007,111021,0.19
1,2, ≥Ã√,1123,111207,8.9
1,2, ≥Ã√,1231,111220,15
1,2, ≥Ã√,1012,111307,10
1,2,ΩÃ “,106,111532,0.01
1,2, ≥Ã√,1224,111643,6
1,2,Àﬁ…·,1109,111645,0.8
1,2,Àﬁ…·,115,111728,1.7
1,2,Àﬁ…·,1221,111847,1.3
1,2,Àﬁ…·,1112,111920,0.08
1,2, ≥Ã√,924,111949,3.7
1,2,Àﬁ…·,1104,112217,1.4
1,2, ≥Ã√,1029,112243,4.3
1,2, ≥Ã√,1110,112244,8.9
1,2, ≥Ã√,1027,112352,3.7
1,2,Àﬁ…·,1019,112440,1.2
1,2,Àﬁ…·,1008,112522,0.17
1,2, ≥Ã√,913,112823,4.2
1,2,Àﬁ…·,1102,113041,1.4
1,2, ≥Ã√,116,113110,10.4
1,2, ≥Ã√,1119,113139,6.4
1,2, ≥Ã√,1021,113223,4
1,2,Àﬁ…·,1019,113435,1.2
1,2, ≥Ã√,1210,113608,6.9
1,2, ≥Ã√,914,113757,3.8
1,2,ΩÃ “,105,113805,0.01
1,2,Àﬁ…·,1019,113831,1.2
1,2,≥¨ –,915,113917,3.5
1,2, ≥Ã√,1111,114017,8.9
1,2, ≥Ã√,924,114251,1.8
1,2, ≥Ã√,909,114401,4.2
1,2, ≥Ã√,106,114532,10.4
1,2, ≥Ã√,1130,114541,6
1,2, ≥Ã√,106,114543,8.4
1,2, ≥Ã√,907,115044,4.2
1,2, ≥Ã√,105,115056,8.4
1,2,Àﬁ…·,911,115125,0.17
1,2, ≥Ã√,117,115127,8.4
1,2,≥¨ –,1028,115258,17.8
1,2, ≥Ã√,906,115334,4.2
1,2, ≥Ã√,908,115354,4.2
1,2, ≥Ã√,107,115423,8.4
1,2,Àﬁ…·,928,115533,0.18
1,2,Àﬁ…·,914,115551,0.08
1,2, ≥Ã√,1019,115710,10
1,2, ≥Ã√,112,115745,8.4
1,2, ≥Ã√,902,115757,4.4
1,2, ≥Ã√,1213,120042,6.9
1,2, ≥Ã√,1211,120128,8.4
1,2, ≥Ã√,1122,120142,6
1,2, ≥Ã√,1225,120142,8.4
1,2, ≥Ã√,1227,120208,4.9
1,2, ≥Ã√,905,120302,3.3
1,2, ≥Ã√,1114,120303,8.4
1,2, ≥Ã√,1220,120307,10.4
1,2, ≥Ã√,1204,120315,8.4
1,2, ≥Ã√,1017,120331,8.4
1,2, ≥Ã√,918,120339,5.2
1,2, ≥Ã√,1025,120345,8.4
1,2, ≥Ã√,1218,120345,10.4
1,2, ≥Ã√,1218,120348,10.4
1,2, ≥Ã√,1031,120413,10
1,2, ≥Ã√,1127,120415,7.4
1,2, ≥Ã√,1206,120426,10.4
1,2, ≥Ã√,1030,120436,8.4
1,2, ≥Ã√,1115,120452,6.4
1,2, ≥Ã√,1219,120454,9.4
1,2, ≥Ã√,1113,120509,4.9
1,2, ≥Ã√,1108,120511,8.4
1,2, ≥Ã√,1205,120516,8.4
1,2, ≥Ã√,1129,120520,13.8
1,2, ≥Ã√,1101,120551,10
1,2, ≥Ã√,1226,120621,10
1,2, ≥Ã√,1023,120625,8.4
1,2, ≥Ã√,1106,120626,8.4
1,2, ≥Ã√,1128,120627,5.9
1,2, ≥Ã√,1120,120628,6
1,2, ≥Ã√,1106,120635,8.4
1,2, ≥Ã√,1018,120641,6.4
1,2, ≥Ã√,927,120648,10
1,2, ≥Ã√,1011,120656,4.9
1,2, ≥Ã√,1009,120721,8.1
1,2, ≥Ã√,1121,120752,6
1,2, ≥Ã√,1024,120759,8.4
1,2, ≥Ã√,1010,120832,8.1
1,2, ≥Ã√,1103,120911,10
1,2, ≥Ã√,919,120940,4.2
1,2, ≥Ã√,1016,121349,9.4
1,2, ≥Ã√,929,121606,10
1,2, ≥Ã√,1019,121925,3.2
1,2,Àﬁ…·,908,122144,0.08
1,2, ≥Ã√,926,122256,4.2
1,2, ≥Ã√,926,122317,4.2
1,2, ≥Ã√,115,122320,4.6
1,2,ΩªÕ®,118,122355,4
1,2,Àﬁ…·,906,122446,0.17
1,2,Àﬁ…·,1017,122812,0.09
1,2, ≥Ã√,923,122838,4.2
1,2,Àﬁ…·,102,123006,1.5
1,2,Àﬁ…·,904,123216,0.17
1,2,Àﬁ…·,905,123713,0.18
1,2,Àﬁ…·,112,123752,2.3
1,2, ≥Ã√,101,124032,16
1,2, ≥Ã√,113,124046,6.5
1,2, ≥Ã√,101,124140,6.5
1,2, ≥Ã√,1226,124333,1.5
1,2, ≥Ã√,101,124605,1.5
1,2,≥¨ –,1117,125346,100
1,2,≥¨ –,1117,125359,74.1
1,2,Àﬁ…·,1104,125908,0.02
1,2, ≥Ã√,1014,130210,1.8
1,2,Àﬁ…·,1229,130949,1.2
1,2,≥¨ –,101,132324,30
1,2,≥¨ –,101,132328,30
1,2,≥¨ –,101,132331,14.6
1,2,ΩÃ “,1116,134425,0.01
1,2,Àﬁ…·,1110,140343,0.01
1,2,Àﬁ…·,1026,140417,0.01
1,2,ΩÃ “,1225,141841,0.01
1,2,ΩÃ “,1109,142451,0.01
1,2,≥¨ –,1103,142714,30
1,2,≥¨ –,1103,142719,27.9
1,2,ΩªÕ®,922,144757,4
1,2,≥¨ –,1007,150111,83.5
1,2,≥¨ –,1007,150221,51.9
1,2,ΩªÕ®,1202,152501,4
1,2,ΩªÕ®,1202,152607,4
1,2,ΩÃ “,105,153451,0.01
1,2,≥¨ –,1014,153547,24.7
1,2,Àﬁ…·,1029,155248,0.01
1,2,Àﬁ…·,106,155816,2.4
1,2, ≥Ã√,1129,160433,1.8
1,2, ≥Ã√,922,160934,6.5
1,2,ΩÃ “,1224,161054,0.01
1,2,≥¨ –,1225,161134,1.5
1,2, ≥Ã√,1109,161143,3.6
1,2, ≥Ã√,1115,161200,2.5
1,2, ≥Ã√,1123,161701,2.2
1,2,ΩÃ “,1231,162050,0.01
1,2, ≥Ã√,1108,162111,7.1
1,2,ΩªÕ®,1215,162442,4
1,2,Àﬁ…·,1012,162535,1.3
1,2,≥¨ –,1211,162802,4
1,2, ≥Ã√,928,163035,1.8
1,2,≥¨ –,918,163730,3
1,2,≥¨ –,1016,164355,4
1,2,Àﬁ…·,106,164419,0.13
1,2,Àﬁ…·,1225,164531,1.3
1,2,Àﬁ…·,1207,164908,1.9
1,2, ≥Ã√,920,165046,2.5
1,2, ≥Ã√,920,165108,2.5
1,2,Àﬁ…·,109,165109,2.1
1,2, ≥Ã√,923,165226,10
1,2, ≥Ã√,920,165235,3.2
1,2,≥¨ –,1120,165431,1.5
1,2, ≥Ã√,1211,165656,1.8
1,2, ≥Ã√,902,165836,1.8
1,2, ≥Ã√,918,165909,3.2
1,2,≥¨ –,1030,170106,4
1,2,ΩÃ “,1126,170259,0.01
1,2,≥¨ –,1127,170314,1.5
1,2,ΩÃ “,1231,170329,0.01
1,2,Àﬁ…·,1103,170339,0.09
1,2, ≥Ã√,1016,170515,1.8
1,2,ΩÃ “,1224,170542,0.01
1,2,Àﬁ…·,1103,170634,0.09
1,2, ≥Ã√,925,170829,4.2
1,2, ≥Ã√,918,171240,3.3
1,2,≥¨ –,1218,171255,1.5
1,2, ≥Ã√,920,171339,4.3
1,2, ≥Ã√,1009,171412,2.2
1,2,≥¨ –,1106,171814,4
1,2, ≥Ã√,1127,171838,8.5
1,2, ≥Ã√,1030,171914,4
1,2, ≥Ã√,104,172010,6
1,2, ≥Ã√,1023,172015,2.5
1,2,Àﬁ…·,113,172257,0.08
1,2,Àﬁ…·,113,172305,1.2
1,2, ≥Ã√,1120,172326,4
1,2,Àﬁ…·,113,172342,1.2
1,2,Àﬁ…·,918,172418,0.8
1,2,≥¨ –,1113,172623,1.5
1,2,Àﬁ…·,103,172823,0.08
1,2,Àﬁ…·,1016,172834,0.9
1,2, ≥Ã√,1218,172838,6
1,2,Àﬁ…·,103,172914,1.2
1,2, ≥Ã√,115,172920,8.4
1,2,Àﬁ…·,1021,173130,0.2
1,2,Àﬁ…·,1225,173319,0.07
1,2,Àﬁ…·,1225,173404,1.2
1,2, ≥Ã√,1229,173423,8.9
1,2, ≥Ã√,1116,173442,10
1,2,Àﬁ…·,923,173613,1
1,2,Àﬁ…·,1225,173613,1.2
1,2,Àﬁ…·,1225,173624,1.2
1,2,Àﬁ…·,1011,173637,0.9
1,2, ≥Ã√,1106,173758,1.8
1,2,Àﬁ…·,920,173847,0.8
1,2,Àﬁ…·,1120,173926,1.3
1,2, ≥Ã√,1222,173944,8.6
1,2,Àﬁ…·,927,174009,0.9
1,2,Àﬁ…·,109,174146,0.13
1,2,Àﬁ…·,918,174239,1.2
1,2,Àﬁ…·,925,174437,1
1,2,Àﬁ…·,1127,174555,1.3
1,2,Àﬁ…·,103,174714,1.2
1,2, ≥Ã√,901,174812,4.2
1,2,Àﬁ…·,909,175000,0.7
1,2,Àﬁ…·,103,175004,1.2
1,2,Àﬁ…·,103,175044,1.2
1,2,Àﬁ…·,1211,175348,1.1
1,2, ≥Ã√,919,175707,2.7
1,2, ≥Ã√,1214,175738,6.6
1,2,Àﬁ…·,1106,175740,1.2
1,2, ≥Ã√,1026,175816,2.4
1,2,ΩÃ “,1229,175847,0.01
1,2,Àﬁ…·,1218,175939,1.2
1,2, ≥Ã√,1126,180058,4.6
1,2, ≥Ã√,1203,180146,5.6
1,2,ΩªÕ®,929,180248,4
1,2, ≥Ã√,1112,180251,8.4
1,2,Àﬁ…·,1115,180254,0.02
1,2, ≥Ã√,1210,180307,4.6
1,2, ≥Ã√,1224,180503,10
1,2, ≥Ã√,1119,180525,2.73
1,2,ΩªÕ®,1130,180854,4
1,2,≥¨ –,1222,181008,64.8
1,2, ≥Ã√,917,181017,5.2
1,2,Àﬁ…·,923,181027,1.2
1,2,Àﬁ…·,909,181107,0.09
1,2,Àﬁ…·,1026,181213,0.16
1,2,≥¨ –,1022,181245,5
1,2, ≥Ã√,107,181401,1.8
1,2,Àﬁ…·,1009,181421,1
1,2, ≥Ã√,919,181540,1.8
1,2,Àﬁ…·,927,181552,1.2
1,2,Àﬁ…·,923,181622,1.2
1,2,Àﬁ…·,927,181745,1.2
1,2,Àﬁ…·,1120,181905,0.07
1,2,Àﬁ…·,923,182047,1.2
1,2,Àﬁ…·,1120,182131,1.2
1,2,Àﬁ…·,1204,182142,1
1,2,Àﬁ…·,1022,182218,0.09
1,2, ≥Ã√,105,182327,7
1,2,Àﬁ…·,1127,182335,0.07
1,2,Àﬁ…·,1110,182422,0.08
1,2,Àﬁ…·,927,182457,1.2
1,2,Àﬁ…·,1127,182523,1.2
1,2, ≥Ã√,917,182600,1.8
1,2,ΩÃ “,1210,182617,0.01
1,2, ≥Ã√,1223,182641,10
1,2, ≥Ã√,106,182701,7
1,2,Àﬁ…·,1211,182901,0.07
1,2,≥¨ –,901,182902,26
1,2,Àﬁ…·,1030,182950,0.05
1,2,Àﬁ…·,1211,183156,1.2
1,2,Àﬁ…·,1030,183228,1.2
1,2,Àﬁ…·,927,183231,1.2
1,2, ≥Ã√,109,183342,7
1,2,Àﬁ…·,1023,183500,1.2
1,2,Àﬁ…·,1211,183610,1.2
1,2,Àﬁ…·,1104,183621,0.08
1,2,Àﬁ…·,1211,183659,1.2
1,2,Àﬁ…·,1211,183712,1.2
1,2,Àﬁ…·,1113,183839,1.2
1,2,Àﬁ…·,1030,184045,1.2
1,2,Àﬁ…·,1120,184054,1.2
1,2,Àﬁ…·,1106,184307,1.2
1,2,Àﬁ…·,1023,184433,1.2
1,2,Àﬁ…·,1204,184513,0.06
1,2, ≥Ã√,103,184723,7.5
1,2,Àﬁ…·,1204,184738,1.2
1,2,Àﬁ…·,1204,184814,1.2
1,2,Àﬁ…·,1023,184958,0.09
1,2,Àﬁ…·,901,185023,0.06
1,2,Àﬁ…·,1204,185051,1.2
1,2,Àﬁ…·,1030,185324,0.07
1,2,Àﬁ…·,1106,185330,1.2
1,2,Àﬁ…·,1113,185404,0.08
1,2,Àﬁ…·,1214,185439,1.6
